"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年1月25日","347.50","349.98","349.98","346.20","2.30M","-0.80%"
"2017年1月24日","350.30","351.27","352.80","346.75","2.69M","-0.21%"
"2017年1月23日","351.05","356.88","359.80","349.46","3.26M","-1.11%"
"2017年1月20日","354.99","354.90","357.40","353.03","2.13M","0.11%"
"2017年1月19日","354.60","355.00","358.48","351.70","2.85M","-0.16%"
"2017年1月18日","355.18","348.88","356.77","347.21","4.60M","1.68%"
"2017年1月17日","349.30","342.60","351.50","342.00","3.52M","2.13%"
"2017年1月16日","342.00","344.13","344.80","338.80","3.69M","-0.80%"
"2017年1月13日","344.76","346.98","347.39","343.88","1.83M","-0.68%"
"2017年1月12日","347.11","346.55","347.40","344.51","1.78M","0.44%"
"2017年1月11日","345.60","348.00","348.00","343.50","2.36M","-1.03%"
"2017年1月10日","349.18","348.45","352.00","346.60","3.17M","0.11%"
"2017年1月9日","348.79","347.80","352.88","346.54","3.54M","-0.60%"
"2017年1月6日","350.90","346.64","359.78","346.10","6.81M","1.13%"
"2017年1月5日","346.98","350.00","351.45","345.44","4.17M","-1.40%"
"2017年1月4日","351.90","334.62","352.17","334.60","6.53M","5.18%"
"2017年1月3日","334.56","334.28","337.00","332.81","2.08M","0.13%"
"2016年12月30日","334.11","326.61","335.29","326.61","3.47M","2.11%"
"2016年12月29日","327.20","324.00","327.87","323.00","2.12M","1.00%"
"2016年12月28日","323.97","326.99","328.00","323.33","1.79M","-0.68%"
"2016年12月27日","326.20","324.51","328.80","323.50","2.01M","0.52%"
"2016年12月26日","324.50","319.03","324.99","316.20","2.60M","1.41%"
"2016年12月23日","320.00","323.55","324.50","319.13","3.11M","-1.57%"
"2016年12月22日","325.12","328.00","328.46","324.88","1.47M","-1.09%"
"2016年12月21日","328.70","326.90","329.29","323.56","2.47M","0.74%"
"2016年12月20日","326.30","326.04","327.00","321.81","3.08M","0.10%"
"2016年12月19日","325.99","326.00","334.37","325.61","3.05M","-0.55%"
"2016年12月16日","327.80","327.00","329.88","323.58","2.51M","-0.07%"
"2016年12月15日","328.04","332.46","332.99","325.58","3.92M","-1.16%"
"2016年12月14日","331.88","333.00","334.07","328.50","3.20M","-0.36%"
"2016年12月13日","333.08","326.84","335.00","325.50","4.18M","1.87%"
"2016年12月12日","326.95","337.70","340.00","325.70","5.03M","-3.22%"
"2016年12月9日","337.83","337.20","339.42","334.02","3.45M","0.04%"
"2016年12月8日","337.70","328.01","340.00","327.00","5.45M","3.11%"
"2016年12月7日","327.50","327.12","328.50","323.97","2.53M","0.32%"
"2016年12月6日","326.44","316.23","326.58","316.23","3.89M","3.31%"
"2016年12月5日","315.99","319.20","324.54","315.82","4.21M","-1.79%"
"2016年12月2日","321.75","321.00","323.20","319.00","3.06M","0.22%"
"2016年12月1日","321.05","320.00","324.59","318.68","2.79M","0.62%"
"2016年11月30日","319.06","321.22","323.30","318.45","2.68M","-1.52%"
"2016年11月29日","324.00","320.70","330.45","319.41","5.88M","1.41%"
"2016年11月28日","319.50","317.55","320.18","316.60","4.93M","0.81%"
"2016年11月25日","316.92","317.04","318.00","313.42","2.24M","-0.03%"
"2016年11月24日","317.00","313.20","317.00","311.42","3.91M","1.28%"
"2016年11月23日","312.98","311.00","313.00","309.11","3.40M","1.30%"
"2016年11月22日","308.97","310.30","310.45","308.37","2.64M","-0.17%"
"2016年11月21日","309.49","311.02","311.66","308.37","2.61M","-0.16%"
"2016年11月18日","310.00","311.16","311.80","309.88","1.94M","-0.34%"
"2016年11月17日","311.05","312.08","313.00","310.53","1.83M","-0.69%"
"2016年11月16日","313.20","313.81","315.40","312.00","1.34M","-0.25%"
"2016年11月15日","314.00","310.03","315.65","310.03","2.45M","0.97%"
"2016年11月14日","310.99","315.55","315.87","309.99","3.99M","-1.30%"
"2016年11月11日","315.10","317.99","318.30","314.80","3.59M","-1.27%"
"2016年11月10日","319.15","319.10","321.00","317.73","1.78M","0.73%"
"2016年11月9日","316.84","320.00","321.97","313.80","3.00M","-0.99%"
"2016年11月8日","320.00","316.50","322.18","315.68","3.42M","1.46%"
"2016年11月7日","315.40","315.00","317.00","313.20","1.60M","0.24%"
"2016年11月4日","314.63","315.99","318.25","313.98","2.06M","-0.39%"
"2016年11月3日","315.87","315.00","316.46","314.15","1.87M","0.23%"
"2016年11月2日","315.15","316.09","317.16","313.68","2.06M","-0.47%"
"2016年11月1日","316.64","317.95","319.00","315.55","1.95M","-0.39%"
"2016年10月31日","317.89","319.00","322.80","316.80","4.36M","0.26%"
"2016年10月28日","317.05","317.50","318.43","314.00","2.01M","0.06%"
"2016年10月27日","316.85","312.99","318.22","311.01","3.30M","0.99%"
"2016年10月26日","313.75","313.00","318.31","311.65","4.68M","0.24%"
"2016年10月25日","313.00","307.39","313.00","307.39","4.38M","1.98%"
"2016年10月24日","306.92","302.60","307.00","302.60","2.62M","0.91%"
"2016年10月21日","304.15","305.08","305.48","302.59","1.15M","-0.44%"
"2016年10月20日","305.49","307.39","307.39","304.80","1.41M","-0.30%"
"2016年10月19日","306.40","308.50","308.75","305.10","1.41M","-0.29%"
"2016年10月18日","307.28","302.50","308.50","302.00","3.04M","1.57%"
"2016年10月17日","302.54","305.45","305.50","301.50","1.90M","-0.99%"
"2016年10月14日","305.57","303.47","306.00","303.20","1.27M","0.53%"
"2016年10月13日","303.97","306.80","306.94","303.51","1.61M","-0.66%"
"2016年10月12日","306.00","308.50","308.50","304.90","1.93M","-0.93%"
"2016年10月11日","308.86","304.00","309.00","303.00","4.17M","1.93%"
"2016年10月10日","303.00","298.51","303.86","298.51","2.11M","1.64%"
"2016年9月30日","298.10","290.00","299.63","290.00","2.96M","2.46%"
"2016年9月29日","290.95","287.85","293.00","287.85","2.37M","0.88%"
"2016年9月28日","288.40","291.79","291.79","287.56","2.24M","-0.95%"
"2016年9月27日","291.18","288.88","291.98","288.76","1.79M","0.84%"
"2016年9月26日","288.76","297.00","297.01","288.55","3.72M","-3.00%"
"2016年9月23日","297.70","297.02","298.95","295.40","1.27M","0.24%"
"2016年9月22日","296.99","294.30","299.98","294.01","2.96M","0.98%"
"2016年9月21日","294.10","295.06","295.39","289.11","3.90M","-0.31%"
"2016年9月20日","295.01","300.78","300.80","294.00","3.49M","-1.71%"
"2016年9月19日","300.15","300.05","301.57","299.88","1.29M","0.22%"
"2016年9月14日","299.50","300.10","302.20","298.01","1.85M","-0.24%"
"2016年9月13日","300.23","299.95","300.97","299.30","1.63M","0.63%"
"2016年9月12日","298.35","302.00","304.00","297.77","3.82M","-2.02%"
